iter	Passed	Remaining
0	1	178
1	3	170
2	4	159
3	6	147
4	7	146
5	9	144
6	10	143
7	12	142
8	14	141
9	15	140
10	17	140
11	18	139
12	20	137
13	22	136
14	23	134
15	25	132
16	26	130
17	28	129
18	29	127
19	31	125
20	33	124
21	34	122
22	35	120
23	37	118
24	38	116
25	40	115
26	41	113
27	43	112
28	45	110
29	46	108
30	48	107
31	49	105
32	51	104
33	52	102
34	54	100
35	55	99
36	57	97
37	59	96
38	60	94
39	62	93
40	63	91
41	64	88
42	65	87
43	67	85
44	68	83
45	70	82
46	71	80
47	73	79
48	74	78
49	76	76
50	77	74
51	79	73
52	81	71
53	82	70
54	83	68
55	85	66
56	87	65
57	89	64
58	90	63
59	92	61
60	94	60
61	95	58
62	97	57
63	99	56
64	101	54
65	102	52
66	104	51
67	105	49
68	107	48
69	108	46
70	110	44
71	111	43
72	113	41
73	114	40
74	116	38
75	117	37
76	119	35
77	120	34
78	122	32
79	123	30
80	125	29
81	127	27
82	129	26
83	130	24
84	132	23
85	134	21
86	135	20
87	136	18
88	138	17
89	140	15
90	141	14
91	143	12
92	144	10
93	146	9
94	147	7
95	149	6
96	150	4
97	152	3
98	153	1
99	155	0
