iter	Passed	Remaining
0	209	208900
1	210	104949
2	211	70274
3	212	52885
4	213	42457
5	214	35492
6	215	30533
7	216	26802
8	217	23895
9	217	21575
10	218	19672
11	219	18087
12	220	16760
13	221	15625
14	222	14634
15	223	13756
16	224	12981
17	225	12304
18	226	11704
19	227	11167
20	228	10670
21	229	10218
22	231	9815
23	232	9442
24	233	9096
25	235	8809
26	237	8556
27	238	8286
28	240	8036
29	240	7790
30	241	7558
31	242	7347
32	243	7141
33	244	6946
34	245	6766
35	246	6595
36	247	6430
37	248	6281
38	249	6142
39	251	6030
40	252	5914
41	253	5791
42	254	5672
43	255	5560
44	256	5451
45	257	5347
46	258	5245
47	259	5147
48	260	5063
49	261	4977
50	263	4910
51	265	4845
52	266	4768
53	267	4691
54	268	4615
55	269	4545
56	270	4475
57	271	4407
58	272	4344
59	273	4281
60	274	4222
61	275	4162
62	276	4105
63	277	4054
64	279	4013
65	280	3972
66	281	3921
67	282	3871
68	283	3824
69	284	3781
70	285	3736
71	286	3694
72	287	3651
73	288	3611
74	289	3570
75	290	3530
76	291	3496
77	292	3460
78	295	3441
79	296	3405
80	297	3369
81	297	3335
82	298	3297
83	299	3263
84	300	3229
85	300	3198
86	301	3166
87	302	3137
88	303	3108
89	304	3080
90	305	3051
91	306	3026
92	307	3003
93	309	2984
94	310	2958
95	311	2931
96	312	2905
97	313	2881
98	313	2857
99	314	2833
100	316	2813
101	317	2791
102	318	2769
103	318	2747
104	319	2725
105	320	2704
106	321	2684
107	323	2672
108	325	2658
109	326	2638
110	327	2619
111	327	2599
112	328	2581
113	329	2562
114	330	2544
115	331	2528
116	332	2509
117	333	2492
118	334	2475
119	335	2458
120	336	2443
121	338	2434
122	339	2420
123	340	2405
124	341	2389
125	342	2374
126	343	2359
127	344	2345
128	345	2331
129	346	2316
130	347	2302
131	347	2287
132	348	2273
133	349	2260
134	351	2249
135	352	2241
136	354	2231
137	355	2218
138	356	2206
139	357	2196
140	358	2184
141	359	2170
142	360	2159
143	361	2147
144	362	2136
145	363	2124
146	364	2113
147	365	2105
148	367	2100
149	369	2094
150	370	2084
151	371	2073
152	372	2061
153	373	2051
154	374	2039
155	375	2029
156	376	2019
157	377	2009
158	378	1999
159	379	1991
160	380	1980
161	381	1974
162	383	1969
163	384	1960
164	385	1950
165	386	1941
166	387	1932
167	388	1923
168	389	1914
169	390	1905
170	391	1896
171	392	1887
172	393	1878
173	393	1870
174	395	1863
175	397	1861
176	398	1853
177	399	1845
178	400	1837
179	401	1830
180	402	1822
181	403	1814
182	404	1806
183	405	1798
184	406	1791
185	407	1783
186	408	1776
187	410	1771
188	411	1767
189	413	1763
190	414	1756
191	415	1748
192	416	1740
193	417	1733
194	418	1726
195	419	1719
196	420	1712
197	421	1705
198	421	1698
199	422	1690
200	423	1684
201	425	1682
202	427	1678
203	428	1671
204	429	1664
205	430	1657
206	431	1651
207	432	1645
208	433	1638
209	433	1632
210	434	1626
211	435	1619
212	436	1613
213	437	1607
214	438	1602
215	440	1599
216	442	1597
217	443	1591
218	444	1585
219	445	1578
220	446	1572
221	447	1566
222	447	1560
223	448	1554
224	449	1549
225	450	1543
226	451	1538
227	453	1533
228	454	1528
229	456	1527
230	457	1523
231	458	1519
232	459	1513
233	460	1507
234	461	1502
235	462	1497
236	463	1492
237	465	1489
238	466	1484
239	467	1481
240	469	1479
241	471	1477
242	472	1472
243	473	1466
244	474	1461
245	475	1456
246	476	1451
247	477	1446
248	478	1441
249	478	1436
250	479	1431
251	480	1426
252	482	1423
253	483	1420
254	485	1418
255	486	1414
256	487	1409
257	488	1404
258	489	1399
259	490	1394
260	490	1390
261	491	1385
262	492	1380
263	493	1375
264	494	1370
265	495	1366
266	496	1362
267	497	1359
268	499	1358
269	500	1354
270	501	1349
271	502	1345
272	503	1340
273	504	1336
274	505	1332
275	506	1329
276	507	1325
277	508	1320
278	509	1316
279	510	1312
280	512	1311
281	514	1308
282	515	1304
283	515	1300
284	516	1296
285	517	1292
286	518	1288
287	519	1284
288	520	1280
289	521	1277
290	522	1273
291	523	1269
292	525	1267
293	529	1271
294	531	1269
295	532	1265
296	533	1262
297	534	1259
298	535	1255
299	536	1252
300	538	1249
301	539	1246
302	540	1243
303	542	1242
304	544	1241
305	545	1237
306	546	1234
307	547	1231
308	549	1228
309	550	1225
310	551	1222
311	552	1218
312	553	1215
313	555	1213
314	557	1212
315	559	1210
316	560	1207
317	561	1203
318	562	1200
319	563	1197
320	564	1194
321	566	1191
322	567	1188
323	568	1185
324	569	1183
325	572	1182
326	574	1181
327	575	1178
328	576	1175
329	577	1172
330	578	1169
331	579	1166
332	581	1163
333	582	1160
334	583	1157
335	584	1154
336	586	1153
337	588	1152
338	589	1149
339	590	1145
340	591	1143
341	592	1139
342	593	1136
343	594	1133
344	595	1129
345	596	1126
346	597	1123
347	597	1120
348	599	1117
349	601	1116
350	602	1114
351	603	1110
352	604	1107
353	605	1104
354	606	1101
355	607	1098
356	607	1094
357	608	1091
358	609	1088
359	610	1085
360	611	1082
361	612	1078
362	613	1075
363	614	1073
364	616	1072
365	617	1069
366	618	1066
367	619	1063
368	620	1060
369	621	1057
370	622	1054
371	623	1052
372	624	1049
373	625	1046
374	625	1043
375	626	1040
376	627	1037
377	628	1034
378	629	1032
379	630	1029
380	632	1027
381	633	1025
382	634	1022
383	635	1019
384	636	1017
385	637	1014
386	639	1012
387	641	1012
388	642	1009
389	644	1008
390	645	1005
391	646	1002
392	647	1000
393	648	997
394	649	994
395	650	992
396	651	990
397	653	987
398	654	985
399	654	982
400	655	979
